model,description,original_arm,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,correction_help_fraction,delta_rel_pct_vs_current80,delta_tke_contrib_pct_vs_current80
current_80pt_residual,同事当前80分原始残差模型,BASELINE,13,0.0861746591902682,0.0180695375831733,0.0075889496917542,0.0138582168025632,0.721714390539501,0.5899051737358267,0.6796424865722657,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,14,0.0879152835709552,0.0183110971819117,0.0078871967991871,0.0140979458318317,0.7109481889702379,0.5701016100107474,0.6800048828125,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,15,0.0896367226770013,0.0185407545487985,0.0081573688348781,0.0143230975271942,0.703294457221179,0.5492318949718943,0.6897514343261719,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,16,0.0913060248466514,0.0187798832540224,0.0084307601809122,0.0145561281298078,0.6985053389616818,0.5291359705559264,0.6961692810058594,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,17,0.0931777013134197,0.019108705015001,0.008697659046836,0.0148457381130971,0.7013885493295644,0.5029023655542592,0.7031929016113281,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,18,0.0952111599904927,0.0194650408877032,0.0089149499692159,0.0151387606777038,0.7100442678854544,0.4707065624380791,0.70604248046875,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,19,0.0975836174655528,0.0199205746305454,0.009114291271695,0.0154903130858679,0.7230466256534264,0.4371254432517882,0.7054336547851563,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,20,0.1000880221748557,0.0204095603770979,0.0093436504875141,0.0158722077736405,0.7382425448956925,0.4013362452046374,0.6972946166992188,0.0,0.0
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,1,0.0390285848002802,0.0082002421588998,0.0036615773864361,0.0063502409569031,0.5609037528615802,1.055200549864065,0.8581100463867187,-0.8625697981949588,-1.2398835600879659
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,2,0.049464583391253,0.0105365744314248,0.0042016913094277,0.0080210227093767,0.5844696336921269,1.003312548815943,0.8087181091308594,-0.5681833620544374,-1.1843084967252357
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,3,0.0577497451065146,0.0124484469444517,0.0047379892218713,0.0094183961796953,0.5962975320535377,0.911951240031634,0.7771080017089844,-0.4153560290148879,-0.9284839418909078
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,4,0.0651104315600587,0.0141379144056019,0.0052351002194661,0.0106603681467382,0.6195065094874634,0.8113076341556109,0.7478477478027343,-0.3040882883107162,-0.46485745409291135
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,5,0.0686832010804865,0.0148916234866054,0.0056138610319666,0.0112533525172068,0.6416026355589164,0.7565847853952106,0.73076171875,-0.2830779747238754,-0.29343210869168246
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,6,0.071640187807761,0.015414336098974,0.0059370785326795,0.0116801254033365,0.6607523645537969,0.7282845547302665,0.7058334350585938,-0.28310754580202335,-0.19873397132186535
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,7,0.0743265803555257,0.0159314919830317,0.0061960534088059,0.0120872559882336,0.6829213756980923,0.7016589548254544,0.69935302734375,-0.27704105312166877,-0.142617499154985
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,8,0.0767390460415166,0.0163997276891207,0.0064239636713191,0.012454283952274,0.704527697169528,0.6785975105805527,0.6932640075683594,-0.27275448483559056,-0.0879075331443463
