model,description,original_arm,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,tke_energy_ratio,delta_rel_l2_vs_current80,delta_tke_vs_current80,delta_mean_field_vs_current80,delta_fluctuation_vs_current80
current_80pt_residual,同事当前80分原始残差模型,BASELINE,6300_20.h5,42,0.1011532223465959,0.0064675107819676,0.0045228341926496,0.4748030089609948,0.0647969794232825,0.7065728666967944,0.4748030089609948,0.7742198926627272,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,7575_20.h5,42,0.1055973217680755,0.0080306114831687,0.0057336251644433,0.4771671312031169,0.0657610546402634,0.6927839874983331,0.4771671312031169,0.7460225097964837,0.0,0.0,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,8850_20.h5,42,0.1049136019193708,0.0092148049368846,0.0065084632138167,0.4944220534835626,0.0640655769157087,0.7106927775974815,0.4944220534835626,0.723958310436171,0.0,0.0,0.0,0.0
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,10125_0.h5,29,0.039372480140451,0.0043393489366645,0.0026603173187103,0.393335175185282,0.0205390370918685,0.7415707660568551,0.393335175185282,0.7704307253845062,-0.00010086597805800124,-0.0013102639086791101,-4.6375399189002575e-05,-0.0019911643189423067
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,10125_15.h5,42,0.0838883451728626,0.0090369739770228,0.0049511715707747,0.4499774471275069,0.0484676299969734,0.6823674015464258,0.4499774471275069,0.7600131556203651,-0.00015800558879590365,0.0007634459752662304,-9.243845251550448e-05,-0.0012678436529044435
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,11400_5.h5,42,0.0414689994285302,0.0054123875012343,0.0027155918741978,0.4785983462953521,0.0212911098387631,0.8652504329394223,0.4785983462953521,0.7364068055819412,-0.0002105042225426998,0.0008315072653418687,-2.6598257275800563e-05,-0.005546886460333411
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,19050_0.h5,42,0.0482908265640918,0.0099040654905346,0.0059884817202366,0.4759959601017809,0.0220142054481996,1.0012280852502715,0.4759959601017809,0.7475062368630075,-0.00026856006738089355,0.0015760209535999326,-0.00012390827604530016,-0.005499801130469217
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,20325_10.h5,42,0.074885098705078,0.0173816098814495,0.0063698471016426,0.4891554672867125,0.0380644799375524,0.8074161050401697,0.4891554672867125,0.7229448007672927,-0.00021106681849700215,0.002276504152056602,-8.1485435270999e-05,-0.0024260132733431305
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,20325_20.h5,42,0.0983412250914648,0.0200849965641919,0.0122894789377516,0.4261029159961906,0.0520239806805497,0.7100620789337255,0.4261029159961906,0.7779567994754112,-0.00011261339504929635,0.00021924303798459555,7.510120181991597e-07,-0.001220012934681769
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,21600_15.h5,42,0.0969439655798085,0.0221293538080468,0.0082852421728464,0.4641988745645736,0.0505691444741486,0.728061899692967,0.4641988745645736,0.6704684033070446,-0.00015511999095049744,0.0011554204637708176,-1.0020579262803864e-05,-0.0015589635318129513
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,21600_5.h5,23,0.0448342106443951,0.0106359177813094,0.0055457440425101,0.4790965174102899,0.0200221261704834,1.0639307634654749,0.4790965174102899,0.7605486343259036,-0.0002829812087841027,0.004992482329294612,-6.692577804679953e-05,-0.007657791576773931
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,22875_15.h5,42,0.1023443657797687,0.0247116982444189,0.0086206022401897,0.5021353231954245,0.051286155156773,0.7858648411425759,0.5021353231954245,0.6647124592453204,-5.3489634962794463e-05,0.0011732985884795877,4.690806735949821e-05,-0.000809075660300751
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,25425_20.h5,42,0.1263171678621692,0.0328434189162643,0.0134298895281174,0.572297455347389,0.0679989024288851,0.7304212326351632,0.572297455347389,0.6013159153724038,-0.00021984955367218562,0.0012639246340366839,-0.00024102061195940827,-0.000784367893523541
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,26700_10.h5,42,0.0999292579868333,0.0300878976329135,0.007659104232624,0.527649041859399,0.0508993708259234,0.7799481422878513,0.527649041859399,0.5895923676925618,-0.00016503191948369356,0.0028215659992865127,-2.519247908699951e-06,-0.0017499399034642815
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,3750_0.h5,42,0.044761725529056,0.0020274631401502,0.0010823772872169,0.3129034220458598,0.0246172825278,0.6055498699486166,0.3129034220458598,0.7707776536657607,-0.00018470335262939924,0.0021196952673420144,-6.708102906250249e-05,-0.00292025075328306
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,6300_0.h5,42,0.0427476309486476,0.0029794642608557,0.0017863460028516,0.1808735341769122,0.0234102215583766,0.4128209421620604,0.1808735341769122,0.9068889269840326,-0.00016981288148890106,-0.00011475537306637751,-0.00015421445770310085,-0.0011825357965276062
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,6300_20.h5,42,0.1009708261941862,0.0064527091818181,0.0045189942097056,0.4760825530784259,0.064733096544508,0.7048001568006755,0.4760825530784259,0.7672379770736201,-0.0001823961524097112,0.0012795441174310862,-6.388287877449883e-05,-0.0017727098961188847
