grid_source,floor,mult,sps,coverage,mean_width_uv
B_headA,0.0025,4.0,27.993502818164114,0.9989079513885728,0.08099598437547684
B_headA,0.005,0.5,44.60925022659348,0.8065468452270035,0.019499462097883224
B_headA,0.005,1.0,43.86336747271935,0.917577850434535,0.028999043628573418
B_headA,0.005,1.5,40.57145089610602,0.9682205490779384,0.03849843516945839
B_headA,0.005,2.0,36.88348235760509,0.9872909428519554,0.047997888177633286
B_headA,0.005,2.5,33.49564354272477,0.9944281708084822,0.057497501373291016
B_headA,0.005,3.0,30.51726491603314,0.9972940825895596,0.06699685752391815
B_headA,0.005,4.0,25.624072467871343,0.9991699944410866,0.08599583804607391
B_headA,0.0075,0.5,43.60894812056284,0.865086533945153,0.024499492719769478
B_headA,0.0075,1.0,41.134286064768744,0.9432694609658436,0.033998921513557434
B_headA,0.0075,1.5,37.4439458048488,0.9780295820877826,0.04349842295050621
B_headA,0.0075,2.0,33.85385725068267,0.99093614483975,0.05299798771739006
B_headA,0.0075,2.5,30.687869720925214,0.9958736819415732,0.06249741464853287
B_headA,0.0075,3.0,27.94149471547994,0.997939704266463,0.07199694961309433
B_headA,0.0075,4.0,23.452756580663255,0.9993369513580447,0.09099581092596054
