variant,horizon,trajectory_count,frame_rel_l2_improved_count,frame_rel_l2_improved_fraction,frame_rel_l2_mean_improvement,frame_rel_l2_median_improvement,frame_rel_l2_worst_improvement,frame_rel_l2_best_improvement,frame_rmse_improved_count,frame_rmse_improved_fraction,frame_rmse_mean_improvement,frame_rmse_median_improvement,frame_rmse_worst_improvement,frame_rmse_best_improvement,tke_contrib_rel_l2_improved_count,tke_contrib_rel_l2_improved_fraction,tke_contrib_rel_l2_mean_improvement,tke_contrib_rel_l2_median_improvement,tke_contrib_rel_l2_worst_improvement,tke_contrib_rel_l2_best_improvement,mvpe_probe_rel_l2_improved_count,mvpe_probe_rel_l2_improved_fraction,mvpe_probe_rel_l2_mean_improvement,mvpe_probe_rel_l2_median_improvement,mvpe_probe_rel_l2_worst_improvement,mvpe_probe_rel_l2_best_improvement
corrected,18,16,16,1.0,0.10004038483897826,0.09722842348609839,0.018631529596305874,0.21776266930944665,16,1.0,0.10007612835383659,0.0973063257101186,0.018685586572190327,0.21777644316822575,16,1.0,0.07425595830038989,0.05844045437502998,0.007257118742305502,0.29890846595251297,13,0.8125,0.0953630100162842,0.10992933841847174,-0.11683868023207533,0.28717784982453465
corrected,19,16,16,1.0,0.1526623677764919,0.16721907568750738,0.042570425574948945,0.2687274274621375,16,1.0,0.15281453492424452,0.16734901262266538,0.042796717146736274,0.2688452164923497,16,1.0,0.17056965902393403,0.13918621840540574,0.0438631027277121,0.36636340698513525,14,0.875,0.14001272326092987,0.15844316457865626,-0.11526516688389021,0.325119311011842
corrected,20,16,16,1.0,0.29700835052655206,0.29314809717971935,0.21299942535146388,0.38103399413159866,16,1.0,0.2970052834017769,0.2931065864280982,0.21309281794988932,0.3810414222142787,16,1.0,0.4195821752887604,0.42758345407333614,0.2939781768933273,0.5284805804331911,16,1.0,0.4055087009977104,0.4105994946842074,0.15989347034699097,0.5685657372806029
spatial_tke_map,1,16,16,1.0,0.32725668542303776,0.3321476165732599,0.26465819481859554,0.39462404176842225,16,1.0,0.3272564516985035,0.3321135346697847,0.26463814939668595,0.39457746585282194,10,0.625,0.01718364427591658,0.01419163465970108,-0.09440788937302358,0.10329507689842976,16,1.0,0.3086168740705527,0.29466075177508694,0.19694336560489023,0.5232937215868833
spatial_tke_map,2,16,16,1.0,0.23072644065980089,0.2215167060156401,0.13670255939867348,0.3733383876745413,16,1.0,0.23073016209777852,0.22147630174350247,0.13672914911391643,0.3733515765656128,11,0.6875,0.04195980258912467,0.031637357074110584,-0.07194972638120478,0.19583994866803445,16,1.0,0.22834991238417163,0.21708033001405086,0.05170130293061426,0.46909530022790724
spatial_tke_map,3,16,16,1.0,0.1961251566472444,0.18954893219046381,0.12038229517373888,0.30699789972604374,16,1.0,0.1961917064877847,0.18966119927887498,0.12043925154714441,0.30701809878759956,14,0.875,0.07668443054055346,0.07475177944506078,-0.023541996701160528,0.26127386510604667,16,1.0,0.28789281327155475,0.30827503656417293,0.033438431970760574,0.44618129540407603
spatial_tke_map,4,16,16,1.0,0.06766169538580247,0.05175304033507716,0.012982157512128834,0.1991979960094833,16,1.0,0.06761726923335014,0.05175191445901528,0.012820649708557563,0.19924971409284786,11,0.6875,0.016940676052730787,0.022565020229549815,-0.05246246402846877,0.0548981090160473,6,0.375,-0.013542266058214389,-0.017659387301070195,-0.22625710222345585,0.13209582326050606
spatial_tke_map,5,16,15,0.9375,0.05495747630247043,0.0387036446577097,-0.013240072443027495,0.14509615082312433,15,0.9375,0.0548994428953327,0.038471876203151845,-0.01323554242806213,0.14508087771327738,12,0.75,0.02299368406185396,0.024016185541793522,-0.053058444611358224,0.1274933462515141,8,0.5,-0.046660903579642934,-0.007356238953628025,-0.31533528660940857,0.09261130316315358
spatial_tke_map,6,16,14,0.875,0.04404123336837057,0.03523137338768373,-0.03642304865355883,0.12716537466552869,14,0.875,0.043978121380849784,0.03517201522164487,-0.03642114145006259,0.12710857506423467,11,0.6875,0.01924190028818417,0.015450348510987921,-0.03340606102365129,0.13767976539364557,8,0.5,-0.02131691843929233,-0.0043099049116712695,-0.1607175976708668,0.08174631543356603
spatial_tke_map,7,16,15,0.9375,0.06623678551030358,0.04782651829032991,-0.026161395772094087,0.2231345686083266,15,0.9375,0.06614734803875988,0.04776010109381229,-0.026176175739378804,0.22298577718174328,13,0.8125,0.01901420935995648,0.014469660530886774,-0.015561721711312648,0.1057143945943616,15,0.9375,0.10425533311896051,0.08211001707292526,-0.03827431438003481,0.4065393100129575
spatial_tke_map,8,16,15,0.9375,0.06039444060125506,0.04317324076803736,-0.02521479101400037,0.19583313490314125,15,0.9375,0.06032126181086644,0.043168258402865256,-0.02518353675625784,0.19566734545606745,15,0.9375,0.013709833253407744,0.013240493903515949,-0.04228803918482926,0.051367312203392745,15,0.9375,0.11341077966833474,0.08897118344973565,-0.05218171586040721,0.41710307488694365
spatial_tke_map,9,16,14,0.875,0.048752319544115776,0.03592080444725987,-0.03177980027911831,0.17440569476521695,14,0.875,0.04870808442103032,0.03589682871152067,-0.031742989471168936,0.17427526783146718,14,0.875,0.014177915010704464,0.017304613354259424,-0.037083312645786126,0.03546893103462945,12,0.75,0.06251666396724886,0.025193123102034254,-0.14215914891800074,0.3331757205699203
spatial_tke_map,10,16,14,0.875,0.04322093766920525,0.03388527651386258,-0.03549753468318739,0.15976815992018867,14,0.875,0.0431903001905527,0.03389642825662714,-0.03544986223327817,0.15967711229821957,15,0.9375,0.01879763804647598,0.02194175893688799,-0.03596340479787585,0.03988590519543811,8,0.5,0.019035030659892628,-0.004397965278622906,-0.1766953407059053,0.22627248862610672
spatial_tke_map,11,16,14,0.875,0.0391625209233344,0.03329740240216855,-0.035348839030860946,0.14043127837215796,14,0.875,0.03913509484675469,0.033268505188532305,-0.035329826996543856,0.14038907281924184,15,0.9375,0.027159285234942238,0.02504411971809717,-0.01185929096363525,0.07072049677163639,7,0.4375,-0.01677503807355374,-0.028087962458558047,-0.21255974554628176,0.12050594610488674
spatial_tke_map,12,16,14,0.875,0.03815031963481612,0.0354604953260928,-0.037443231451160575,0.13777710615550487,14,0.875,0.03812942604281534,0.035439193231402766,-0.037419064800736646,0.13777678547303984,15,0.9375,0.04239789767269067,0.03272439858346632,-0.008625323684667174,0.1775559363683309,6,0.375,-0.029654937055413923,-0.03820207889594229,-0.2632160445470373,0.09916231295111144
spatial_tke_map,13,16,15,0.9375,0.04212508454570292,0.037362740473615375,-0.029306766873115286,0.14140744854461762,15,0.9375,0.04208857586034402,0.03737034627438762,-0.029305634245963885,0.14138144983424017,15,0.9375,0.0455537689219555,0.030377658200813507,-0.017842371455821127,0.2042172864668489,10,0.625,-0.005842567958833318,0.01005922541430998,-0.1687853904991572,0.10553848623783202
spatial_tke_map,14,16,16,1.0,0.05732286583998013,0.05192546178873303,0.0051320351884817095,0.1527986591013767,16,1.0,0.057221184939238216,0.0518007534925376,0.005053382224103897,0.15271273567063193,15,0.9375,0.039062480660029965,0.035371494090209454,-0.0031788703892106085,0.1114182189971149,14,0.875,0.0644415386244217,0.04826609104061591,-0.04818755608163583,0.1504167071277468
spatial_tke_map,15,16,16,1.0,0.10979167602423742,0.10566542379791616,0.05819318603611123,0.1923667567610874,16,1.0,0.10957054496087787,0.10555673348865924,0.05782716915072161,0.1921824413317632,14,0.875,0.05155302268042094,0.055593891873229884,-0.025579051202186065,0.10999873923309911,15,0.9375,0.20815659238686915,0.20960711904157686,-0.0012882279541921449,0.3452095967969313
spatial_tke_map,16,16,16,1.0,0.1358718787392149,0.13322826783152364,0.0797859864645385,0.20356762843597798,16,1.0,0.13561658318564404,0.13286625514319678,0.07957622639150719,0.20349244310263181,12,0.75,0.06900700749728184,0.05187521007882939,-0.02212804717261707,0.1604238259767261,16,1.0,0.23287509951793742,0.2297149966872939,0.0541230830584416,0.3298302624807238
spatial_tke_map,17,16,16,1.0,0.1128977160998334,0.10841397874424025,0.04042955126004877,0.20631431723719829,16,1.0,0.1126661806215081,0.1082521722533536,0.040226708497738906,0.20615446437671192,14,0.875,0.0603688350936089,0.045111272629315025,-0.022830133991290635,0.1820456132974242,16,1.0,0.1747014929903531,0.17201472800553735,0.06012101623242683,0.3449090031437053
spatial_tke_map,18,16,15,0.9375,0.06411016261462996,0.06791598874405441,-0.005230202874927592,0.1480781148433834,15,0.9375,0.06412401601534856,0.06797028611496664,-0.005226331351914748,0.1480780255439582,15,0.9375,0.06813005781515416,0.047578221398410725,-0.004522820130516303,0.29383907560446476,9,0.5625,0.017236049144882658,0.03215554781110069,-0.1581777492957197,0.18036923897018287
spatial_tke_map,19,16,16,1.0,0.10513045478315304,0.12224955484622835,0.009913287831964546,0.17900284282330892,16,1.0,0.10526668876121395,0.12239026239480744,0.010086807636450645,0.1790876269464352,16,1.0,0.14011352583895842,0.12105067416198251,0.007884770955546738,0.3023179119399714,10,0.625,0.040220421400809454,0.07828662588500407,-0.2691382386601946,0.26752537731315096
spatial_tke_map,20,16,16,1.0,0.24451684406777036,0.22706135424129226,0.16203477215298379,0.34064099999250674,16,1.0,0.24449503321603194,0.22711785906793663,0.16200620854434244,0.34062390795793207,16,1.0,0.3665599745819209,0.38066456580423136,0.23671862830871493,0.45428743137310346,16,1.0,0.3258479870273024,0.31663596553261697,0.05249012355587268,0.5409034756073945
window_energy,1,16,16,1.0,0.39854794541460614,0.4115649131237653,0.28823666211881094,0.4933234398519879,16,1.0,0.39854621259599904,0.41157287147288724,0.2882013181630858,0.49334228531198765,4,0.25,-0.0998710134580581,-0.07841603118004381,-0.3492878720857584,0.07809370477027022,16,1.0,0.423609853390068,0.42630053752813996,0.32151524897592154,0.5784642341148455
window_energy,2,16,16,1.0,0.27830484083416285,0.27461140646379817,0.14333524099250183,0.43949448884448017,16,1.0,0.2783063204943143,0.2745980938032637,0.14335710413403657,0.4395450948143611,4,0.25,-0.07668326470019439,-0.042244711101960375,-0.2857806468417221,0.08545788699638124,16,1.0,0.32908177878161227,0.3066735980688268,0.17535101312087464,0.5297320282878426
window_energy,3,16,16,1.0,0.22947267879760733,0.2193400803255106,0.13311910025582663,0.36635907985144245,16,1.0,0.22954561934017315,0.21945494242085128,0.1331794302331507,0.3662599565740514,8,0.5,-0.011576282586916141,-0.0012151261427076343,-0.1751310943451272,0.07248077273578024,16,1.0,0.36238336593922416,0.37722864898532854,0.16437682770912587,0.5120156307363468
window_energy,4,16,16,1.0,0.09610092388661619,0.08020034127546244,0.026969129928372415,0.24875870599318917,16,1.0,0.0960679892533023,0.08016047826456951,0.02684399099568424,0.24883451239759002,2,0.125,-0.04054738754420751,-0.02441404487321286,-0.16648381348075336,0.014888112748418614,14,0.875,0.07288764395080724,0.06721265082835376,-0.08694941242479648,0.21465267168426372
window_energy,5,16,15,0.9375,0.0776633857416981,0.059017903176621755,-0.0033003910279250093,0.18927208671240248,15,0.9375,0.07761501823983188,0.058798049767336324,-0.0032833672275862646,0.18923586790672087,7,0.4375,-0.02043301303174548,-0.006477791118219223,-0.14142858864804997,0.026456646853288524,10,0.625,0.024967297162355392,0.044105036375787776,-0.15772962980548288,0.14705114727473878
window_energy,6,16,15,0.9375,0.06348600228467166,0.05060030348740552,-0.031037869451524314,0.16948830243738866,15,0.9375,0.06342954189065599,0.05039320249611384,-0.031028338173738623,0.16941390801566136,7,0.4375,-0.01708476412576962,-0.01353800603302835,-0.10807229185395761,0.08381503665734058,9,0.5625,0.027028004912142328,0.053349526245691004,-0.08477010294355636,0.11177588839774333
window_energy,7,16,15,0.9375,0.08159233952595092,0.06144709443886304,-0.025397829245928927,0.2652962096751972,15,0.9375,0.0815051195340089,0.06137250754509854,-0.025408686730729713,0.2651493569364305,4,0.25,-0.013667488668245867,-0.016299534603227306,-0.05671477038660355,0.05997390791849588,15,0.9375,0.13428030540661665,0.11924618543022991,-0.0011585476136692918,0.4425535561482449
window_energy,8,16,15,0.9375,0.07448355100225487,0.05724356280600479,-0.026733245100382108,0.23421298245189204,15,0.9375,0.07440841328625968,0.05723329613498468,-0.026696195554193114,0.2340512537707602,4,0.25,-0.015397718061340389,-0.0106216095212891,-0.07144406139093862,0.0202400383331911,15,0.9375,0.1403906697083607,0.12295697471192674,-0.01366375910106643,0.444558045655026
window_energy,9,16,15,0.9375,0.06282983736754091,0.05116496287297573,-0.03202702902372567,0.21201130306815974,15,0.9375,0.06278052435456054,0.05113420980504335,-0.031985625925574857,0.21187945040446143,6,0.375,-0.009506257547620016,-0.001815995051521857,-0.055135009369304155,0.0184334423109328,14,0.875,0.09412446044531554,0.06229204868459426,-0.0985994426390604,0.36611208771233983
window_energy,10,16,15,0.9375,0.057716643315053724,0.049994831384054195,-0.035053982796302785,0.20030966506032688,15,0.9375,0.057679091113910605,0.04995830911327592,-0.03499721870476491,0.2002090508289096,10,0.625,-0.0011025036855889375,0.005202948526631779,-0.05596080586077545,0.027248817340900344,13,0.8125,0.05861164831519422,0.03421306729464657,-0.1297795738970693,0.27701230902614293
window_energy,11,16,15,0.9375,0.054377331408967666,0.04900626902431482,-0.035099705392743985,0.1862906713211172,15,0.9375,0.05434276795589299,0.04896393161108065,-0.03506681168919168,0.18623223532136057,11,0.6875,0.010108937523840504,0.009377721259187566,-0.029407077317005426,0.06731618350753943,11,0.6875,0.03253454075830919,0.023252004546751304,-0.14784572410420505,0.19283075156356533
window_energy,12,16,15,0.9375,0.05396891545908685,0.051783257393519355,-0.037400592473525895,0.1839496373326307,15,0.9375,0.05394143743911045,0.0517925012906581,-0.037366488663373554,0.18394052197007282,12,0.75,0.027528058384454282,0.015162016238051412,-0.028847465548092588,0.18039412316228576,13,0.8125,0.02493154289199892,0.0293393275385746,-0.18593712195276457,0.18114087808651524
window_energy,13,16,15,0.9375,0.057728247334377,0.0533296170921056,-0.029442892448777735,0.18618661962908845,15,0.9375,0.05768363128978862,0.0533219347917267,-0.029439845461878944,0.1861616755999761,15,0.9375,0.03289894787895336,0.016227887675246744,-0.0433115315512258,0.21297392544257032,13,0.8125,0.048977858883607964,0.06005677815216409,-0.11610330217751619,0.19296862992858088
window_energy,14,16,16,1.0,0.07252766212485581,0.0677794758474975,0.006116814225988199,0.19695310772435248,16,1.0,0.07241766138812744,0.06763476590812845,0.006035353320775094,0.1968726914496468,15,0.9375,0.02807742988274449,0.02132872561381044,-0.0006677382176312197,0.12113779911276856,16,1.0,0.11394158164222541,0.10338032944275799,0.010315945722506825,0.23437480007539735
window_energy,15,16,16,1.0,0.12340584147419345,0.11720848285305885,0.07887858890558053,0.23427017965334673,16,1.0,0.12318002045854226,0.11709214292167575,0.07849519639681979,0.2341029706406298,13,0.8125,0.04369911625749314,0.04741647955022654,-0.01363769632085643,0.10117279285365788,16,1.0,0.24431516580230378,0.23995799854517297,0.04616975294480652,0.38227649733169444
window_energy,16,16,16,1.0,0.1477984874026278,0.14697261881713258,0.0855039386645382,0.24102332509870183,16,1.0,0.14753977331865087,0.14659179759291668,0.08527965993681796,0.24081797081837963,13,0.8125,0.0619382942687273,0.046937236819238226,-0.03260686541470337,0.153438423435434,16,1.0,0.26501668020953956,0.2664076753600654,0.11073569846528386,0.3634671930947473
window_energy,17,16,16,1.0,0.1263059730814292,0.12104012060003799,0.05019773704759933,0.24523359354537422,16,1.0,0.12607316213723097,0.12087097631819099,0.04998354194813559,0.24499379255871756,14,0.875,0.04862903443171478,0.033545989320184544,-0.02517372612785329,0.17821065705968442,16,1.0,0.2073298331299765,0.20548832736009326,0.07281759908903485,0.3738599149518381
window_energy,18,16,16,1.0,0.08221997977843012,0.08565385654085939,0.0031765119081711424,0.18834087730656424,16,1.0,0.08223341542307212,0.08570699805904303,0.003088794759756097,0.18834523058486397,14,0.875,0.05240061689546077,0.04093625134723761,-0.06065401828445327,0.2700769819569683,10,0.625,0.0651256755088149,0.08541013048931684,-0.1319081624323306,0.256101650320693
window_energy,19,16,16,1.0,0.12923306545991253,0.14954981322253852,0.029463769658303884,0.23554573331315165,16,1.0,0.12936455713072043,0.14969421816994877,0.02963718346378641,0.23565850568244207,15,0.9375,0.1310709262436,0.12428606797494879,-0.002435624570574557,0.28058040503459547,11,0.6875,0.10115321530440553,0.11686933015723794,-0.15351520278613973,0.2950890488971466
window_energy,20,16,16,1.0,0.2713318260709807,0.270793984743722,0.16759712578234132,0.3709153794210449,16,1.0,0.27130857253093765,0.2706563137645897,0.167556558668712,0.3708813627912986,16,1.0,0.3694250066996996,0.3941085039430212,0.16949695012481514,0.47775317953478347,16,1.0,0.37329335446832135,0.3735087052410838,0.12382487720027746,0.559737477741854
