trajectory_id,horizon,variant,windows,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,frame_rel_l2_improvement_vs_base,frame_rmse_improvement_vs_base,tke_contrib_rel_l2_improvement_vs_base,mvpe_probe_rel_l2_improvement_vs_base,tke_contrib_ratio_delta_vs_base
13950_5.h5,14,corrected,42,0.05620089607639873,0.006844637861166503,0.8471844502736839,0.4910790290132191,0.03584447377505081,0.05885960246860056,0.058801799722819736,0.004700751462419994,0.09971539871372015,0.023082354841338026
13950_5.h5,14,spatial_tke_map,42,0.05741065592377962,0.006991800518694438,0.843665019131558,0.5934324804536969,0.038116577215346316,0.03860095993496826,0.03856563365782739,0.00883549115211335,0.04264831069717345,0.12543580628181583
13950_5.h5,14,window_energy,42,0.056906730870762215,0.006930517506251722,0.8443627139107301,0.5802839109106138,0.03673414206071866,0.04703969059289448,0.04699258950101337,0.008015817125761382,0.07737012276222821,0.11228723673873275
13950_5.h5,15,base,42,0.06354532405500792,0.00773701908178787,0.8460571474422113,0.6370680289850978,0.04466229615730742,0.0,0.0,0.0,0.0,0.0
13950_5.h5,15,corrected,42,0.0559204226674283,0.006810222738503309,0.8475774105060477,0.436497533384815,0.033413784069965535,0.11999154148587132,0.11978726347801605,-0.0017968798779521844,0.251857003673141,-0.20057049560028284
13950_5.h5,15,spatial_tke_map,42,0.05703423452372627,0.006945776031870259,0.8402448515473773,0.5323368179395536,0.035072049115357024,0.10246370804003346,0.10226717054118617,0.006869862056488318,0.21472803386937578,-0.10473121104554428
13950_5.h5,15,window_energy,42,0.05644185453826868,0.0068736905742265405,0.8361713068847924,0.5153834192831711,0.03391462177221273,0.11178587287697406,0.11158412541511165,0.011684601433018638,0.2406431220472799,-0.12168460970192674
13950_5.h5,16,base,42,0.06831379530608243,0.008315673971404678,0.8840402621213198,0.8946621057521646,0.045686031884179724,0.0,0.0,0.0,0.0,0.0
13950_5.h5,16,corrected,42,0.05542188900990616,0.006748487867777859,0.847860998250207,0.41191698601076104,0.031025934982368247,0.18871600148130574,0.18846170605244295,0.04092490514436298,0.32088794533473175,-0.4827451197414036
13950_5.h5,16,spatial_tke_map,42,0.056348889611192735,0.006861379382572212,0.8346691568660344,0.49567958646264804,0.03229961793412567,0.1751462591308316,0.17488595558620823,0.055847122999597154,0.29300890005046676,-0.3989825192895166
13950_5.h5,16,window_energy,42,0.055832560330873,0.00679851358254493,0.833113635606916,0.48534443594750903,0.031385247448719275,0.1827044584375207,0.18244587198546347,0.057606682293181555,0.3130231242607122,-0.4093176698046556
13950_5.h5,17,base,42,0.0681901107225929,0.008300794627248387,0.8363688485111398,0.8423339294109059,0.042774091509001876,0.0,0.0,0.0,0.0,0.0
13950_5.h5,17,corrected,42,0.05674315345711881,0.006909597056504758,0.8555842655775507,0.4605261532835995,0.031694754437297405,0.16786828975893509,0.1675981196037365,-0.022974812011013146,0.25901981037686816,-0.3818077761273064
13950_5.h5,17,spatial_tke_map,42,0.05787872929842998,0.007047974241146574,0.844369221261096,0.54983688269544,0.03341230738683833,0.1512152028336058,0.15092776563695176,-0.009565603458567384,0.21886576177061168,-0.29249704671546595
13950_5.h5,17,window_energy,42,0.057318655086348945,0.006979721742132117,0.8476841196921996,0.5424142506124863,0.032249827561396036,0.15942862566201998,0.15915017109081153,-0.013529044274189106,0.24604295676019194,-0.29991967879841963
13950_5.h5,18,base,42,0.06787717675626448,0.008265844278447707,0.9127298222769318,0.8590455753290301,0.04192949522284941,0.0,0.0,0.0,0.0,0.0
13950_5.h5,18,corrected,42,0.05972057187133267,0.007272656035799579,0.8664625437624496,0.6028631948046412,0.034553892211270726,0.12016712059520096,0.1201556924121785,0.05069109980329345,0.17590488443465357,-0.2561823805243889
13950_5.h5,18,spatial_tke_map,42,0.061612764431667036,0.007503322380211218,0.8723555090371388,0.732005561713016,0.03722898117235739,0.09229040782134901,0.0922497294347393,0.04423468178028156,0.11210519052303036,-0.12704001361601414
13950_5.h5,18,window_energy,42,0.0608101505578975,0.007405410988857739,0.8823612309436063,0.7131266874756159,0.03564553900296541,0.10411491072681889,0.10409502775577983,0.03327226808209993,0.14986958909201387,-0.14591888785341423
13950_5.h5,19,base,42,0.07881404226227272,0.009600152223632294,1.320031359463113,1.5105174686203078,0.05243055136526591,0.0,0.0,0.0,0.0,0.0
13950_5.h5,19,corrected,42,0.06411907145350354,0.0078086893479287845,0.9228646355332488,0.7741955167780267,0.039953134434110964,0.18645117528508592,0.18660775724925904,0.3008767337856284,0.23797989161374633,-0.7363219518422811
13950_5.h5,19,spatial_tke_map,42,0.06714101545958416,0.008176995968120276,0.9664719538587759,0.9650416191909409,0.044541483450217675,0.14810846478148842,0.14824309264687419,0.26784167138888104,0.15046700272304525,-0.5454758494293669
13950_5.h5,19,window_energy,42,0.06589028960664262,0.008024436350221573,0.9785948315453155,0.9179293266774982,0.04190673183037686,0.16397779234090293,0.16413446752769678,0.258657891322118,0.20071922306468148,-0.5925881419428096
13950_5.h5,20,base,42,0.10143504620413096,0.012353888730165923,1.7133979477055363,2.8190348359927615,0.0752371356315909,0.0,0.0,0.0,0.0,0.0
13950_5.h5,20,corrected,42,0.06767046731089706,0.008242228285703826,0.961343680002859,0.8524823904998717,0.04430600055780727,0.33286896547850975,0.33282317287043217,0.4389256265363083,0.41111526660507436,-1.9665524454928898
13950_5.h5,20,spatial_tke_map,42,0.07170713380289048,0.008734170654867526,1.034735793968085,1.0926205868484342,0.050776091215242423,0.2930733855182076,0.2930023213224927,0.3960913777480991,0.32511929396309536,-1.7264142491443273
13950_5.h5,20,window_energy,42,0.06987442034327966,0.00851066144425953,1.0384354439128323,1.0121264619602488,0.04692252834051727,0.31114123808193217,0.3110945362913897,0.3939321304175525,0.37633818796239193,-1.8069083740325127
16500_10.h5,1,base,42,0.06926838841131679,0.009965182141209668,0.6228027159603003,0.9684183733841846,0.08569993326448605,0.0,0.0,0.0,0.0,0.0
16500_10.h5,1,corrected,42,0.039786618927060806,0.00572487424827587,0.5963910430572023,1.2538022534019315,0.04753878566072814,0.4256165064674634,0.4255123321227192,0.042407767702769106,0.4452879500615883,0.28538388001774695
