variant,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,frame_rel_l2_improvement_vs_base,frame_rmse_improvement_vs_base,tke_contrib_rel_l2_improvement_vs_base,mvpe_probe_rel_l2_improvement_vs_base,tke_contrib_ratio_delta_vs_base
spatial_tke_map,6,0.07779352259622478,0.010191278602470577,0.736543282696286,0.8551073732609716,0.06629704355002788,0.044230777091076035,0.026722313153251576,0.019470379873786525,0.0009220935655128715,0.1572857821834739
window_energy,6,0.07624658479584771,0.010042089583647938,0.7628515613106508,0.8632243864758851,0.06340374776599664,0.06323641522150025,0.040970019334832575,-0.015552743738834529,0.04452325192522755,0.16540279539838731
base,7,0.08621016417873822,0.011002155927535801,0.7702900827630602,0.7481464592534361,0.07675964366601133,0.0,0.0,0.0,0.0,0.0
corrected,7,0.07759021426502366,0.010220714458437594,0.7575182499997135,0.7147600588578296,0.06432404868997342,0.09998762902066805,0.07102621288455324,0.016580549391903898,0.16200693987255066,-0.033386400395606586
spatial_tke_map,7,0.08029371804709748,0.010549647945766294,0.7556091754785105,0.8280079058034145,0.06791211849171686,0.0686281738122464,0.04112902823318354,0.01905893326821595,0.11526271816465061,0.0798614465499784
window_energy,7,0.07897738035211466,0.010420976456317708,0.7802503891715357,0.8358380705932837,0.06553744766947628,0.08389711231297448,0.05282414419918724,-0.012930591515273537,0.14619916743443884,0.0876916113398476
base,8,0.08800942697661357,0.011254984556697909,0.7805999683693546,0.7357518905315498,0.0793874298568183,0.0,0.0,0.0,0.0,0.0
corrected,8,0.08011249268733782,0.010546491941293886,0.7716275162611884,0.6939224764213536,0.06768969035837193,0.08972827753297585,0.06294923034633526,0.011494302423441516,0.14735002152789434,-0.04182941411019614
spatial_tke_map,8,0.08269956668504617,0.010862697922243569,0.770163192622483,0.8068177349932617,0.07129037936448646,0.06033285835366664,0.034854480028663204,0.013370197501639258,0.10199411300927042,0.07106584446171194
window_energy,8,0.08147160023958622,0.010743693534629995,0.7923863951988712,0.8111577634224805,0.06885821239244572,0.07428552783061093,0.04542796300539054,-0.015099189478751773,0.13263078907281534,0.0754058728909307
base,9,0.08874692167899365,0.011354596948344037,0.7828062484346332,0.7010091264755777,0.07706441283448488,0.0,0.0,0.0,0.0,0.0
corrected,9,0.08210988816454663,0.010778746882979393,0.7748316233879049,0.670661559650335,0.06992976050405104,0.07478607019693384,0.05071514805715993,0.010187227123793496,0.09258037618164028,-0.030347566825242644
spatial_tke_map,9,0.08467222137897858,0.011090487773015651,0.7718797595220542,0.7844877853569069,0.07404803386904502,0.04591370858759092,0.023260110114864396,0.013958101298282344,0.039141010156248046,0.08347865888132922
window_energy,9,0.08343633172291115,0.010970565157324207,0.7898181967433816,0.7832610119382859,0.07126062921914657,0.059839708866651464,0.033821701709617846,-0.008957450611527529,0.07531081340752432,0.08225188546270823
base,10,0.09028357039204883,0.01155063475678533,0.7886526205220876,0.6926618098056342,0.07710852039386219,0.0,0.0,0.0,0.0,0.0
corrected,10,0.08408898361582275,0.011014439981786561,0.7781013364347646,0.6528108971741925,0.07252539961036417,0.06861255873384953,0.04642123885735239,0.013378874060341106,0.05943728086193234,-0.03985091263144169
spatial_tke_map,10,0.08670038719976417,0.011327870415954499,0.7743605491568222,0.7699278887600515,0.07738913609772466,0.03968809803073792,0.019285896015365678,0.018122137672989758,-0.0036392308194881373,0.07726607895441728
window_energy,10,0.08540789354158047,0.01120376631595823,0.7894719395476467,0.7627967531901957,0.07404914274340202,0.054004032287337966,0.030030249257369523,-0.0010388845535271862,0.03967625931392793,0.0701349433845615
base,11,0.09213505443003489,0.011798801736392923,0.795461885804071,0.7016493034530781,0.07882351236126414,0.0,0.0,0.0,0.0,0.0
corrected,11,0.0861197075203637,0.01126655397160512,0.7782136326557155,0.6407174354145108,0.0754289719763096,0.06528836333666133,0.04511032363109446,0.02168331815284963,0.043065073900750206,-0.060931868038567316
spatial_tke_map,11,0.08884353608688897,0.01158908554107233,0.7738046613500229,0.7614771427377479,0.08137133315910194,0.035724929707893316,0.017774363872369525,0.027225973790254487,-0.032323106665947954,0.05982783928466984
window_energy,11,0.08745714969330701,0.011455839424937098,0.7867861948402054,0.7493582666985282,0.07717867664499103,0.05077225780856487,0.029067554410883267,0.010906482282423857,0.0208673233023986,0.04770896324545015
base,12,0.09412690493709298,0.012044774824041494,0.8077232722353753,0.7238539171649521,0.08172182974606661,0.0,0.0,0.0,0.0,0.0
corrected,12,0.08797580973081762,0.011493940645171178,0.775243752096703,0.6379115164153124,0.07836462768580367,0.0653489585192063,0.045732210598976586,0.04021119764048042,0.041080847928818276,-0.08594240074963966
spatial_tke_map,12,0.0908188738319442,0.011831147115897118,0.7715349635950671,0.760921645198258,0.08499156137791963,0.035144373517429606,0.017736131332067084,0.04480285499284553,-0.04001050443942611,0.037067728033305936
window_energy,12,0.089336837169824,0.011684853132608987,0.7831158568660826,0.7469159019540319,0.08028845266601922,0.050889464287286246,0.02988197759530553,0.030465155846248648,0.017539708600520898,0.023061984789079837
base,13,0.09621435059683377,0.012309691850768825,0.8107435109473983,0.723358360496301,0.08615264944042754,0.0,0.0,0.0,0.0,0.0
corrected,13,0.08954031352821107,0.011680500880693235,0.774566392572132,0.6336234280211018,0.07985093198905739,0.06936633700921457,0.051113462278610355,0.04462214977581669,0.07314595073164443,-0.08973493247519915
spatial_tke_map,13,0.09236279177880728,0.012013721333137741,0.772589033971879,0.7540091390494046,0.08666776591198792,0.04003102233850375,0.024043698349166864,0.04706109448959228,-0.005979113525888424,0.030650778553103608
window_energy,13,0.09089328368297882,0.011867368225371797,0.7830163933508829,0.7427392243528953,0.08179623950760694,0.05530429588567065,0.035932956792042,0.03419961704548791,0.050566174820113385,0.01938086385659432
base,14,0.0993784214903313,0.012735710571407715,0.7983144816397305,0.729019534216603,0.0951498069747597,0.0,0.0,0.0,0.0,0.0
corrected,14,0.09084771541961631,0.011819472181691987,0.7697717233894402,0.6186641290606246,0.08073090113880789,0.08584062760088174,0.07194246324761244,0.03575377737312713,0.1515389919790031,-0.11035540515597841
spatial_tke_map,14,0.0935820499487029,0.012137999512654044,0.7676643873815217,0.7328030904530356,0.08730466308334395,0.0583262589071446,0.04693189715661106,0.038393509028238904,0.08245044462882434,0.0037835562364325614
window_energy,14,0.09215084362443303,0.011993177488383017,0.777057646982022,0.7255846944862485,0.08260813293459822,0.07272783927848414,0.058303231599163396,0.02662714399724686,0.13180976860508387,-0.003434839730354522
base,15,0.10583029812891276,0.013557352050379326,0.8043431154176479,0.8596182726857752,0.11003739485529855,0.0,0.0,0.0,0.0,0.0
corrected,15,0.09152790295156973,0.011860337714001055,0.7684114359194574,0.576062020974825,0.07909968354553008,0.13514461765874608,0.12517299322700626,0.044672079376887996,0.28115634099164377,-0.2835562517109502
spatial_tke_map,15,0.09397457432549565,0.012139006203206019,0.7635713337640209,0.6770108758256732,0.08436806050153849,0.11202579991767159,0.10461820581944858,0.0506895389195402,0.2332782813289589,-0.18260739686010197
window_energy,15,0.09267710960503248,0.012005210272573867,0.7705799298749595,0.675077739041576,0.08060189558121399,0.12428566068913716,0.11448708951701458,0.041976098129660966,0.2675045089243784,-0.1845405336441992
base,16,0.10911863754201989,0.013799190454253369,0.8131438309476728,0.8965251265164319,0.11074928119475416,0.0,0.0,0.0,0.0,0.0
corrected,16,0.0925671279346787,0.011971176389234364,0.765551669075711,0.5516556204609132,0.07805041391811424,0.15168361684288323,0.132472558522848,0.05852858997466148,0.2952512822104778,-0.3448695060555187
spatial_tke_map,16,0.0948314155746184,0.012225500089687496,0.7574397625968321,0.6410234208606158,0.08267043224160706,0.1309329211693988,0.11404222369297101,0.06850456983227782,0.2535352703894308,-0.2555017056558161
window_energy,16,0.09365120420498123,0.012101430006296003,0.7638311927475422,0.6466398761789942,0.0793514237755164,0.14174877624441007,0.12303333688927087,0.06064442270029835,0.2835039386307545,-0.2498852503374377
base,17,0.109542866435359,0.013774340249368956,0.8042857529279264,0.8269702343722486,0.10458439429531136,0.0,0.0,0.0,0.0,0.0
corrected,17,0.09518732873215378,0.012306245781347872,0.7656171062184887,0.5784793023439345,0.07924803382596372,0.13104949843243685,0.10658183560467382,0.04807824404282701,0.24225756280431499,-0.24849093202831407
spatial_tke_map,17,0.09788575027222926,0.012617265644619496,0.75828333721607,0.6761154435568365,0.08374059584793903,0.10641602271754114,0.08400217969078183,0.05719660648518132,0.19930123024393498,-0.1508547908154121
window_energy,17,0.09649153496963052,0.012461425496930904,0.7677462504345316,0.6808196843220626,0.08072988159131407,0.11914360003925994,0.09531598092316618,0.04543099558878938,0.22808864424495412,-0.14615055005018596
base,18,0.10996547119999717,0.013968271743215811,0.8350935811471671,0.7515477692929078,0.09419885545155499,0.0,0.0,0.0,0.0,0.0
corrected,18,0.09983715730999633,0.012970592817671621,0.7754415615724224,0.6687603807496088,0.08588961315246141,0.0921044922508466,0.07142465037084833,0.07143153883760045,0.08820958873929097,-0.08278738854329903
spatial_tke_map,18,0.1036372183751879,0.013426190990635174,0.7818347157383118,0.8000942334199161,0.09251396401927511,0.05754763523269868,0.03880800449374977,0.0637759247720402,0.017886538262095852,0.04854646412700836
window_energy,18,0.10168520142062112,0.013204588452950396,0.7955983324097086,0.7943291241443211,0.08832181499118093,0.07529881597393873,0.054672711435208576,0.047294398650752356,0.06238972259484121,0.04278135485141332
base,19,0.12553546975970858,0.016121843649560746,1.0028492027042335,1.1610799081286518,0.11638302758351012,0.0,0.0,0.0,0.0,0.0
corrected,19,0.1077272047412052,0.014185941646987511,0.8188368327365692,0.8198397645760529,0.10024490918131354,0.14185843294003475,0.12007944281397243,0.18348957098581298,0.13866384761830275,-0.3412401435525989
spatial_tke_map,19,0.1135638917236645,0.014913266062571678,0.8561273405756934,1.0117009292745267,0.11115558754709268,0.09536410752243374,0.07496522192249366,0.14630500949983027,0.044915827891369386,-0.1493789788541251
window_energy,19,0.11054736384151122,0.0145707599406308,0.8716433556284195,0.9809481223168645,0.10425394162911891,0.11939339492564593,0.09621007017843186,0.1308330771186842,0.10421696536196423,-0.18013178581178735
base,20,0.1695009709066302,0.022377219423722363,1.6025642531031274,2.4578308461534384,0.2182567563202108,0.0,0.0,0.0,0.0,0.0
corrected,20,0.12060353210229527,0.01629224688363198,0.9149517826206,1.0394450760296734,0.12280368615403826,0.2884788124976,0.2719271069773589,0.42907014127581355,0.4373430255974783,-1.418385770123765
spatial_tke_map,20,0.12932198492502822,0.01741323131574812,1.0112027320447332,1.311292198625405,0.13883801573190963,0.23704280728713112,0.22183221310829437,0.36900955447702677,0.3638775812822199,-1.1465386475280335
window_energy,20,0.12489063450474647,0.01691655082909747,1.0112443789520325,1.242478235085975,0.12894061123364928,0.26318631783211066,0.24402802203548002,0.3689835668093132,0.40922510987711747,-1.2153526110674633
