model,trajectory,window_start,horizon,rel_l2,mvpe,velocity_squared_error
plain_piv_cno,3750_0,540,1,0.2824227809906006,0.29181933403015137,0.00010517743066884577
plain_piv_cno,3750_0,560,1,0.2819992005825043,0.2997446060180664,0.00010474408918526024
plain_piv_cno,3750_0,580,1,0.2845532298088074,0.3040145933628082,0.00010492895671632141
plain_piv_cno,3750_0,600,1,0.2822622060775757,0.2807369828224182,0.00010526030382607132
plain_piv_cno,3750_0,620,1,0.28160250186920166,0.2986249625682831,0.00010575049964245409
plain_piv_cno,3750_0,640,1,0.2832528054714203,0.3101097345352173,0.00010514947643969208
plain_piv_cno,3750_0,660,1,0.2841770052909851,0.2969861328601837,0.0001054793392540887
plain_piv_cno,3750_0,680,1,0.2855560779571533,0.2838956415653229,0.00010616755753289908
plain_piv_cno,3750_0,700,1,0.28802478313446045,0.30910390615463257,0.00010726803884608671
plain_piv_cno,3750_0,720,1,0.2885598838329315,0.2890433669090271,0.0001081558657460846
plain_piv_cno,3750_0,740,1,0.28772011399269104,0.30018624663352966,0.00010730109352152795
plain_piv_cno,3750_0,760,1,0.2888012230396271,0.29754769802093506,0.0001082451271940954
plain_piv_cno,3750_0,780,1,0.28724098205566406,0.2980354428291321,0.00010745010513346642
plain_piv_cno,3750_0,800,1,0.28335025906562805,0.27894505858421326,0.0001052543448167853
plain_piv_cno,3750_0,820,1,0.28533270955085754,0.30668768286705017,0.00010722425213316455
plain_piv_cno,26700_0,0,1,0.1421300321817398,0.1807248592376709,0.0010856140870600939
plain_piv_cno,26700_0,20,1,0.1466408669948578,0.17086225748062134,0.0011457331711426377
plain_piv_cno,26700_0,40,1,0.13947232067584991,0.17751756310462952,0.0010147414868697524
plain_piv_cno,26700_0,60,1,0.13879896700382233,0.16665954887866974,0.0010311838705092669
plain_piv_cno,26700_0,80,1,0.14273592829704285,0.14926235377788544,0.0010624178685247898
plain_piv_cno,26700_0,100,1,0.16242465376853943,0.1805541217327118,0.0014057252556085587
plain_piv_cno,26700_0,120,1,0.14190737903118134,0.1766151338815689,0.0010659885592758656
plain_piv_cno,26700_0,140,1,0.14515502750873566,0.1510472595691681,0.0011334468144923449
plain_piv_cno,26700_0,160,1,0.14454665780067444,0.14744175970554352,0.001115118619054556
plain_piv_cno,26700_0,180,1,0.14819732308387756,0.17731192708015442,0.0011921287514269352
plain_piv_cno,26700_0,200,1,0.1382581889629364,0.16783884167671204,0.0010181517573073506
plain_piv_cno,26700_0,220,1,0.1381414234638214,0.16063740849494934,0.0010078505147248507
plain_piv_cno,26700_0,240,1,0.13237446546554565,0.15515932440757751,0.0009280520025640726
plain_piv_cno,26700_0,260,1,0.13727465271949768,0.15440340340137482,0.0009967258665710688
plain_piv_cno,26700_0,280,1,0.1463441550731659,0.1696055829524994,0.0011425311677157879
plain_piv_cno,26700_0,300,1,0.14382220804691315,0.159315824508667,0.0010872934944927692
plain_piv_cno,26700_0,320,1,0.1396113634109497,0.16158133745193481,0.001021319068968296
plain_piv_cno,26700_0,340,1,0.14435671269893646,0.17805910110473633,0.001097824308089912
plain_piv_cno,26700_0,360,1,0.13485880196094513,0.14054954051971436,0.0009605381637811661
plain_piv_cno,26700_0,380,1,0.14872469007968903,0.16919177770614624,0.0011851513991132379
plain_piv_cno,26700_0,400,1,0.1461057811975479,0.17032834887504578,0.0011573036899790168
plain_piv_cno,26700_0,420,1,0.14297311007976532,0.16556361317634583,0.0011241859756410122
plain_piv_cno,26700_0,440,1,0.13878300786018372,0.16047346591949463,0.0010368991643190384
plain_piv_cno,26700_0,460,1,0.13714715838432312,0.15476974844932556,0.0010184035636484623
plain_piv_cno,26700_0,480,1,0.13471619784832,0.1440231055021286,0.0009791917400434613
plain_piv_cno,26700_0,500,1,0.13836658000946045,0.15786360204219818,0.0010134902549907565
plain_piv_cno,26700_0,520,1,0.14285679161548615,0.15099099278450012,0.0010732701048254967
plain_piv_cno,26700_0,540,1,0.13293595612049103,0.14980995655059814,0.0009251112933270633
plain_piv_cno,26700_0,560,1,0.13903206586837769,0.15126881003379822,0.0010144051630049944
plain_piv_cno,26700_0,580,1,0.13195043802261353,0.14256703853607178,0.0008983508450910449
plain_piv_cno,26700_0,600,1,0.13767406344413757,0.15306931734085083,0.000976806739345193
plain_piv_cno,26700_0,620,1,0.13569043576717377,0.15390193462371826,0.0009736912325024605
plain_piv_cno,26700_0,640,1,0.14678330719470978,0.17008350789546967,0.0011411403538659215
plain_piv_cno,26700_0,660,1,0.1302269697189331,0.15351080894470215,0.0009037412237375975
plain_piv_cno,26700_0,680,1,0.1453753411769867,0.16097040474414825,0.0011484096758067608
plain_piv_cno,26700_0,700,1,0.13940130174160004,0.15477816760540009,0.0010623025009408593
plain_piv_cno,26700_0,720,1,0.15009887516498566,0.16381724178791046,0.001215761061757803
plain_piv_cno,26700_0,740,1,0.13962261378765106,0.1759813129901886,0.0010411818511784077
plain_piv_cno,26700_0,760,1,0.1508016735315323,0.1693524569272995,0.0012236456386744976
plain_piv_cno,26700_0,780,1,0.1488114297389984,0.1569974422454834,0.0011844232212752104
plain_piv_cno,26700_0,800,1,0.13449862599372864,0.15143199265003204,0.0009708837023936212
plain_piv_cno,26700_0,820,1,0.14519014954566956,0.1737215220928192,0.0011258687591180205
plain_piv_cno,13950_5,0,1,0.11821996420621872,0.16502243280410767,0.00020867749117314816
plain_piv_cno,13950_5,20,1,0.1261245608329773,0.16151875257492065,0.00024244541418738663
