model,horizon,rel_l2,mvpe,tke_error,velocity_squared_error,pred_speed_mean,pred_speed_std,target_speed_mean,target_speed_std
plain_piv_cno,17,0.1650250256061554,0.19600628316402435,0.0,0.0004122175450902432,0.15726709365844727,0.11510825902223587,0.157064288854599,0.11861063539981842
plain_piv_cno,18,0.17068414390087128,0.20005930960178375,0.0,0.00045801664236932993,0.15631981194019318,0.11459840834140778,0.15705251693725586,0.11862937361001968
plain_piv_cno,19,0.1849062293767929,0.2290821224451065,0.0,0.0005813746829517186,0.15630842745304108,0.11498089879751205,0.15704819560050964,0.11866152286529541
plain_piv_cno,20,0.24056078493595123,0.31944695115089417,0.0,0.001121335313655436,0.1600542962551117,0.11561812460422516,0.15703967213630676,0.1186535581946373
p0a_cno,1,0.10070298612117767,0.14440110325813293,0.0,0.0002203036128776148,0.15779365599155426,0.11591106653213501,0.15705075860023499,0.118636853992939
p0a_cno,2,0.09075646847486496,0.1318405270576477,0.0,0.0001732638047542423,0.15713638067245483,0.11669464409351349,0.15706518292427063,0.11862729489803314
p0a_cno,3,0.09215829521417618,0.13738976418972015,0.0,0.00017699802992865443,0.15534766018390656,0.11591002345085144,0.15707311034202576,0.11861002445220947
p0a_cno,4,0.08965542912483215,0.1277107447385788,0.0,0.0001752636453602463,0.15519188344478607,0.11625812947750092,0.15707175433635712,0.11861182004213333
p0a_cno,5,0.09088211506605148,0.12945455312728882,0.0,0.00018685231043491513,0.15518465638160706,0.11621367931365967,0.1570601910352707,0.11861609667539597
p0a_cno,6,0.09504161030054092,0.13505126535892487,0.0,0.00020722256158478558,0.1542230099439621,0.11563771963119507,0.15706144273281097,0.11860432475805283
p0a_cno,7,0.0975683182477951,0.13815921545028687,0.0,0.0002190823870478198,0.15437628328800201,0.11569832265377045,0.15705525875091553,0.11860621720552444
p0a_cno,8,0.0991831049323082,0.1403200924396515,0.0,0.00022857375734020025,0.15446488559246063,0.11555798351764679,0.15705163776874542,0.11861393600702286
p0a_cno,9,0.10221940279006958,0.14413587749004364,0.0,0.0002406436688033864,0.15390123426914215,0.11501694470643997,0.15701057016849518,0.1186184212565422
p0a_cno,10,0.10504882037639618,0.14745676517486572,0.0,0.0002484301512595266,0.1539880335330963,0.11513558030128479,0.15702053904533386,0.11863715201616287
p0a_cno,11,0.10844170302152634,0.15059269964694977,0.0,0.0002575376711320132,0.1539357453584671,0.11514516174793243,0.1570269912481308,0.11864618957042694
p0a_cno,12,0.11108020693063736,0.15210142731666565,0.0,0.00026640776195563376,0.15384872257709503,0.11481347680091858,0.15701989829540253,0.11866055428981781
p0a_cno,13,0.11278172582387924,0.1528819352388382,0.0,0.00027312111342325807,0.15405644476413727,0.1146271824836731,0.1570630818605423,0.1186748519539833
p0a_cno,14,0.11355321109294891,0.15499427914619446,0.0,0.00028137542540207505,0.15515629947185516,0.11511866003274918,0.15705685317516327,0.11865032464265823
p0a_cno,15,0.11464022845029831,0.159238800406456,0.0,0.00029912422178313136,0.1560039222240448,0.11466704308986664,0.15705694258213043,0.11863084882497787
p0a_cno,16,0.1172509640455246,0.16540397703647614,0.0,0.00031128854607231915,0.15893873572349548,0.11576738208532333,0.15708261728286743,0.11862760782241821
p0a_cno,17,0.12190144509077072,0.1690840721130371,0.0,0.0003246611449867487,0.1589013785123825,0.1157325878739357,0.157064288854599,0.11861063539981842
p0a_cno,18,0.11934058368206024,0.1660613715648651,0.0,0.00031552425934933126,0.15290895104408264,0.11402540653944016,0.15705251693725586,0.11862937361001968
p0a_cno,19,0.15308243036270142,0.21153129637241364,0.0,0.0004896537284366786,0.14552441239356995,0.11332061141729355,0.15704819560050964,0.11866152286529541
p0a_cno,20,0.17540927231311798,0.2534022629261017,0.0,0.0006865065661258996,0.1450328826904297,0.11396976560354233,0.15703967213630676,0.1186535581946373
