trajectory_id,horizon,alpha,windows,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,frame_rel_l2_improvement_vs_base,frame_rmse_improvement_vs_base,tke_contrib_rel_l2_improvement_vs_base,mvpe_probe_rel_l2_improvement_vs_base,tke_contrib_ratio_delta_vs_base
10125_0.h5,8,1.0,29,0.04711064962735982,0.004298233443108223,0.7054115245766852,0.9458666592480118,0.0305433190927289,0.04702391406228723,0.04701511209227027,-0.04791606856296715,0.11567570335908739,0.0824768797836627
10125_0.h5,9,0.0,29,0.05067871934180441,0.004624477789051133,0.655360021597978,0.8683749946855018,0.033175147656035534,0.0,0.0,0.0,0.0,0.0
10125_0.h5,9,0.5,29,0.04862772683582823,0.004437328853994989,0.6648049025647433,0.8890062997152839,0.031889285769409324,0.0404704880591632,0.040469204003798054,-0.014411744164277263,0.03875979392641149,0.020631305029782054
10125_0.h5,9,1.0,29,0.04772072176814636,0.004354567438225774,0.6830536690597541,0.932477516343597,0.031523431346343146,0.05836764646138215,0.058365584858985686,-0.04225715110642558,0.04978776060976753,0.06410252165809516
10125_0.h5,10,0.0,29,0.05118274769051254,0.004671004385108039,0.6496330428350499,0.8577607775137126,0.03276293675508925,0.0,0.0,0.0,0.0,0.0
10125_0.h5,10,0.5,29,0.049067912075402384,0.00447794683392641,0.651303478735661,0.8720743535070403,0.032284394488214053,0.041319306026670555,0.04133105757663802,-0.002571353041589841,0.014606207937109317,0.01431357599332772
10125_0.h5,10,1.0,29,0.048034208993976216,0.004383531928845097,0.662086301953495,0.9074865393477334,0.032491151968314154,0.06151562467053617,0.06154403476465431,-0.01916968241655037,0.008295495266701813,0.049725761834020776
10125_0.h5,11,0.0,29,0.051266875203704494,0.0046791004707335115,0.651234341899979,0.8123129620490899,0.033534461936195754,0.0,0.0,0.0,0.0,0.0
10125_0.h5,11,0.5,29,0.049415521074695816,0.004510082574483517,0.6516977190950906,0.8258362759130592,0.033588009995970086,0.036112092294536824,0.03612187797786248,-0.0007115367929764194,-0.0015968068870828578,0.013523313863969322
10125_0.h5,11,1.0,29,0.04861585883563049,0.004437017745845401,0.660146275100095,0.8593944381114053,0.03428098981063926,0.05171012193624869,0.05173702219096843,-0.013684679426019697,-0.02226151342054883,0.047081476062315386
