alpha,horizon,trajectory_count,frame_rel_l2_improved_count,frame_rel_l2_improved_fraction,frame_rel_l2_mean_improvement,frame_rel_l2_median_improvement,frame_rel_l2_worst_improvement,frame_rel_l2_best_improvement,frame_rmse_improved_count,frame_rmse_improved_fraction,frame_rmse_mean_improvement,frame_rmse_median_improvement,frame_rmse_worst_improvement,frame_rmse_best_improvement,tke_contrib_rel_l2_improved_count,tke_contrib_rel_l2_improved_fraction,tke_contrib_rel_l2_mean_improvement,tke_contrib_rel_l2_median_improvement,tke_contrib_rel_l2_worst_improvement,tke_contrib_rel_l2_best_improvement,mvpe_probe_rel_l2_improved_count,mvpe_probe_rel_l2_improved_fraction,mvpe_probe_rel_l2_mean_improvement,mvpe_probe_rel_l2_median_improvement,mvpe_probe_rel_l2_worst_improvement,mvpe_probe_rel_l2_best_improvement
1.0,9,16,16,1.0,0.033148091305427736,0.03317581718385898,0.00027484080086193075,0.10273878080216248,16,1.0,0.03313668419488056,0.03317294142100363,0.00022683669768275294,0.10268579488639651,3,0.1875,-0.013180218739448343,-0.013649128671750277,-0.04225715110642558,0.014950348751258336,14,0.875,0.06250477496389976,0.05274876405699497,-0.03943035719780963,0.19567743093874534
1.0,10,16,15,0.9375,0.02985501928483647,0.028031261246649564,-0.002046822910086954,0.09607833208190919,15,0.9375,0.029848209667588187,0.028031450242515743,-0.00208192086615977,0.09603192805732086,4,0.25,-0.009316894510773943,-0.012524139223663133,-0.03551577660332472,0.012033646870716064,13,0.8125,0.030498835916736494,0.02495910009311081,-0.05449652740407718,0.11959199239819573
1.0,11,16,15,0.9375,0.02930423802920746,0.02672070983202174,-0.0015999873306746792,0.0868785234186642,15,0.9375,0.029289703236143598,0.026719482248172943,-0.0016492328328998607,0.08684653111090457,6,0.375,-0.005026005456482435,-0.0063987735087163156,-0.03430207237183347,0.04378448479512287,11,0.6875,0.018437943214582128,0.013790207598610382,-0.04850062637018682,0.07978072882509646
1.0,12,16,15,0.9375,0.029411093293053372,0.027668392657949792,-0.0025743301249396833,0.08133097375022147,15,0.9375,0.029398188969582142,0.02765758189584866,-0.0025861400160436254,0.0813361586036252,6,0.375,0.007566291951665097,-0.004715964467942757,-0.02276300818398913,0.1274258335366335,11,0.6875,0.01557281303449274,0.016922250084189294,-0.08178592609844015,0.09109065720185228
1.0,13,16,15,0.9375,0.029522589523443887,0.028929647942967263,-0.000492018821862894,0.08116773317903925,15,0.9375,0.02950724875515858,0.028892419242869616,-0.0005208437745876093,0.08115948622420732,9,0.5625,0.011729804462098412,0.0004693561887416653,-0.01643621463584366,0.1354870191210722,11,0.6875,0.01756811832047482,0.018800765251956564,-0.07513096428607335,0.09971013187097066
1.0,14,16,16,1.0,0.039988951644494806,0.03556377803531008,0.026681184143884318,0.10203337937433643,16,1.0,0.03993678535932808,0.03550107903897565,0.026530634951030807,0.1019478721297945,8,0.5,0.00581663915581767,-0.00016370872806420467,-0.02476007790660195,0.05943656797411112,14,0.875,0.06619364868068005,0.06711108235944352,-0.01630860112943866,0.1544209360142974
1.0,15,16,16,1.0,0.08703899608673948,0.08376167038691279,0.04166268057652156,0.1546180790897117,16,1.0,0.08688752448015008,0.08367324520551533,0.04147731384939923,0.154441985583729,12,0.75,0.022839518106748925,0.028003873477299823,-0.029566398994314014,0.05592312809123634,16,1.0,0.20129034099426507,0.2067023321282035,0.05034683440319365,0.2940466485357034
1.0,16,16,16,1.0,0.1179274860062849,0.12194615044908053,0.06579009085777565,0.17867600485713886,16,1.0,0.11774200576040056,0.12185118115572502,0.06566083220772045,0.17859072754503735,11,0.6875,0.04054687157575902,0.03925899491289553,-0.03809080233966222,0.10997263883105945,16,1.0,0.25317525055873247,0.2426803022261711,0.148838847369977,0.356289656202072
1.0,17,16,16,1.0,0.11033643726121414,0.10304608764487944,0.04606268627558574,0.1934928367755958,16,1.0,0.11015496038267543,0.10292707497433623,0.045905303863767344,0.19342462009389572,9,0.5625,0.025294172877910998,0.034366473609160286,-0.039516242856927564,0.08875080686085457,16,1.0,0.2344062007398678,0.21173498271698504,0.14312641992414832,0.38263599284475747
1.0,18,16,16,1.0,0.07686238874349557,0.07334382276588919,0.018467134473276636,0.14441373442404826,16,1.0,0.07692109038653458,0.07339636904605829,0.018567938987110177,0.14441671338238105,15,0.9375,0.038740160052215915,0.030274775272830512,-0.024757247420337913,0.11971423131327641,14,0.875,0.11159247327949415,0.11575627654113485,-0.07287505957684304,0.25386185046747
