experiment,trajectory,window_start,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2
residual,10125_0.h5,20,8,0.042182719937638495,0.0038948237605847284,0.7739769627671194,0.6158091481111369,0.06663916171513543
residual,10125_0.h5,20,9,0.04319868706329045,0.003991106702186799,0.7654936097721206,0.5704470518080029,0.062281314691623096
residual,10125_0.h5,20,10,0.044751357469792065,0.0041363591142906725,0.7707155464688517,0.5334609422160147,0.07269414368183724
residual,10125_0.h5,20,11,0.04485459568145255,0.004147106846092659,0.7804704646104266,0.5163057654966055,0.06750268649568215
residual,10125_0.h5,20,12,0.0442783936310575,0.00409548937932072,0.7680365582373251,0.5111411970508696,0.06908315561361572
residual,10125_0.h5,20,13,0.04554785111706007,0.004216721037596654,0.810626433594847,0.4773265046619934,0.0667906665450543
residual,10125_0.h5,20,14,0.04706876591406089,0.004360625369519673,0.837331003486228,0.46192473972996323,0.06811911098281861
residual,10125_0.h5,20,15,0.047860482866688495,0.004437300307659343,0.8503762429192773,0.44480874435357465,0.05721679327470219
residual,10125_0.h5,20,16,0.04790448506018679,0.004441203707283721,0.8402420460023347,0.4418889573049174,0.05413002751428671
residual,10125_0.h5,20,17,0.04756372204599169,0.004409608870222086,0.7786423445491139,0.4219930398195896,0.04499911110621696
residual,10125_0.h5,20,18,0.049467668595903125,0.004587467493169869,0.7918992236529665,0.3749167702606971,0.053717001609374926
residual,10125_0.h5,20,19,0.05195195799244452,0.004818797502625939,0.8102828939801942,0.35862926554851215,0.07344871729455998
residual,10125_0.h5,20,20,0.05357709656122015,0.0049739741786250565,0.8470467825897718,0.35534006069964474,0.08527931317119614
residual,10125_0.h5,40,1,0.022676224521731587,0.0021063067633706246,0.7331965124704781,1.2646607710860023,0.03339763352393455
residual,10125_0.h5,40,2,0.027116778311995986,0.0025206960113910914,0.7292745628296191,1.1417761865384555,0.031958127336416654
residual,10125_0.h5,40,3,0.031762992748314414,0.002955636236625271,0.7502501517882384,0.9838981114257944,0.030452543503377144
residual,10125_0.h5,40,4,0.033974284883668854,0.0031614661713868057,0.7349374445138682,0.9440993837972838,0.04000042934849242
residual,10125_0.h5,40,5,0.03678283359210269,0.003422700992179358,0.7704146025364064,0.8736663257845637,0.04911041734825407
residual,10125_0.h5,40,6,0.03796938471874497,0.003531510029334202,0.7063393752080523,0.8381804264310656,0.05240461253963694
residual,10125_0.h5,40,7,0.040358851820654025,0.003751785967837221,0.7265725370427439,0.770185254184899,0.05359287352880623
residual,10125_0.h5,40,8,0.03953228026152535,0.0036762644898222737,0.6656322904034796,0.8048188132129289,0.04172728348946383
residual,10125_0.h5,40,9,0.0390420436919156,0.003629872448515295,0.6352709457588117,0.8379395365776345,0.03718548931161357
residual,10125_0.h5,40,10,0.03999269879258575,0.003716226557550822,0.6488181497751335,0.8069775657203241,0.03596592131723484
residual,10125_0.h5,40,11,0.040386603678569805,0.0037523679169530993,0.6339312608750954,0.7817935823305293,0.052517130480067925
residual,10125_0.h5,40,12,0.04138170128060511,0.0038409865281411296,0.6180172745679489,0.7272430927496689,0.06035817218023457
residual,10125_0.h5,40,13,0.04220536740094987,0.003914955978945408,0.6590842887482712,0.6884194811854439,0.0617094240849362
residual,10125_0.h5,40,14,0.04299344277624641,0.003986481053328261,0.6473812403552219,0.6554594247156416,0.05537492146214
residual,10125_0.h5,40,15,0.043340684003648725,0.004013356342067582,0.6474457043293915,0.63802660555625,0.048722251907043726
residual,10125_0.h5,40,16,0.04459969852430887,0.004126981239635633,0.675348435100523,0.6447054104580785,0.06488016397449152
residual,10125_0.h5,40,17,0.04528937341705831,0.004186585447209812,0.6813111603328244,0.670585641761955,0.07468404030893581
residual,10125_0.h5,40,18,0.04651189052993254,0.0042960261217681915,0.717068156889346,0.6940970879531944,0.08323480518248128
residual,10125_0.h5,40,19,0.04815557385917314,0.0044454458230910494,0.6942428506961885,0.7086559480560455,0.08395794763348265
