window,rms,norm,relative_to_global_output
169,0.001968368887901306,0.002783693838864565,0.01082497090101242
170,0.0019686908926814795,0.002784149255603552,0.010815304704010487
171,0.0019725230522453785,0.002789568854495883,0.010839967988431454
172,0.001972018973901868,0.002788855927065015,0.010838844813406467
173,0.00197304948233068,0.002790313446894288,0.010838041082024574
174,0.0019585415720939636,0.0027697959449142218,0.01083635725080967
175,0.0019654359202831984,0.002779546193778515,0.010828229598701
176,0.00196253159083426,0.002775438828393817,0.01081202831119299
177,0.001955755753442645,0.0027658564504235983,0.010827381163835526
178,0.0019472253043204546,0.0027537925634533167,0.010818722657859325
179,0.0019524646922945976,0.0027612021658569574,0.010818825103342533
180,0.001946685602888465,0.0027530293446034193,0.010782084427773952
181,0.0019515809835866094,0.0027599523309618235,0.010786759667098522
182,0.0019506162498146296,0.002758587943390012,0.010777538642287254
183,0.0019502942450344563,0.002758132526651025,0.010815884917974472
184,0.0019601520616561174,0.0027720732614398003,0.010816635563969612
185,0.001956106862053275,0.0027663528453558683,0.010809681378304958
186,0.0019657204393297434,0.0027799487579613924,0.01080060750246048
187,0.0019862549379467964,0.002808988792821765,0.010830244980752468
188,0.0019907921086996794,0.0028154051396995783,0.010865321382880211
189,0.0019886682275682688,0.0028124016243964434,0.010871276259422302
190,0.0019800961017608643,0.0028002788312733173,0.01083290670067072
191,0.0019782972522079945,0.0027977346908301115,0.010861624032258987
192,0.00196518050506711,0.0027791850734502077,0.010820556432008743
193,0.0019672266207635403,0.002782078692689538,0.010823674499988556
194,0.001958755776286125,0.002770099090412259,0.010819905437529087
195,0.0019756206311285496,0.0027939495630562305,0.010845383629202843
196,0.0019692268688231707,0.0027849075850099325,0.01082299742847681
197,0.0008177655399776995,0.0011564951855689287,0.01023700088262558
198,0.0008239292656071484,0.0011652120156213641,0.010232478380203247
199,0.0008161759469658136,0.0011542470892891288,0.010239152237772942
200,0.0008202199824154377,0.0011599662248045206,0.010249074548482895
201,0.0008148510241881013,0.0011523733846843243,0.010265051387250423
202,0.0008138578850775957,0.0011509688338264823,0.010241757147014141
203,0.0008123282459564507,0.0011488056043162942,0.010230809450149536
204,0.0008198157302103937,0.0011593945091590285,0.010220605880022049
205,0.0008211492095142603,0.001161280320957303,0.010218891315162182
