experiment,trajectory,window_start,horizon,rel_l2,mvpe,velocity_squared_error,pred_speed_mean,target_speed_mean
LOSS-E0-best,10125_0.h5,40,16,0.11674829572439194,0.07040759921073914,0.00023341688211075962,0.1224152222275734,0.11928832530975342
LOSS-E0-best,10125_0.h5,40,17,0.11419368535280228,0.06310911476612091,0.0002228647645097226,0.12100493162870407,0.11918022483587265
LOSS-E0-best,10125_0.h5,40,18,0.11572306603193283,0.06400787085294724,0.00022849446395412087,0.12229379266500473,0.11910896748304367
LOSS-E0-best,10125_0.h5,40,19,0.1221344843506813,0.07104677706956863,0.0002542401198297739,0.12472889572381973,0.11907994747161865
LOSS-E0-best,10125_0.h5,40,20,0.146058589220047,0.08258575946092606,0.0003627510741353035,0.12485314160585403,0.11891451478004456
LOSS-E0-best,10125_0.h5,60,1,0.1219000518321991,0.07831945270299911,0.0002520435082260519,0.12219271063804626,0.11875167489051819
LOSS-E0-best,10125_0.h5,60,2,0.11388197541236877,0.07019475847482681,0.00021947726781945676,0.12321269512176514,0.11864236742258072
LOSS-E0-best,10125_0.h5,60,3,0.10556749999523163,0.060652006417512894,0.0001882180367829278,0.12082715332508087,0.11867155879735947
LOSS-E0-best,10125_0.h5,60,4,0.11045196652412415,0.05768728256225586,0.00020569204934872687,0.12137968093156815,0.11865086108446121
LOSS-E0-best,10125_0.h5,60,5,0.11050450056791306,0.056944265961647034,0.00020583235891535878,0.1203535869717598,0.11881463974714279
LOSS-E0-best,10125_0.h5,60,6,0.11479843407869339,0.06431857496500015,0.00022199790691956878,0.12244951725006104,0.1188507154583931
LOSS-E0-best,10125_0.h5,60,7,0.11397068202495575,0.06196929141879082,0.00021835528605151922,0.12163949757814407,0.11860688030719757
LOSS-E0-best,10125_0.h5,60,8,0.1165989488363266,0.06504792720079422,0.00022814438852947205,0.12180624902248383,0.1184423640370369
LOSS-E0-best,10125_0.h5,60,9,0.11369509249925613,0.06248927488923073,0.00021629425464197993,0.12123801559209824,0.11813961714506149
LOSS-E0-best,10125_0.h5,60,10,0.1135343685746193,0.06345472484827042,0.00021508731879293919,0.12145775556564331,0.11788530647754669
LOSS-E0-best,10125_0.h5,60,11,0.11439105123281479,0.06741292774677277,0.00021781871328130364,0.12218127399682999,0.11773013323545456
LOSS-E0-best,10125_0.h5,60,12,0.11304652690887451,0.06908074021339417,0.00021219842892605811,0.12225054204463959,0.11758379638195038
LOSS-E0-best,10125_0.h5,60,13,0.11136171966791153,0.06909189373254776,0.00020549242617562413,0.12181293964385986,0.1174318715929985
LOSS-E0-best,10125_0.h5,60,14,0.11284556239843369,0.07332811504602432,0.00021066839690320194,0.12192821502685547,0.11727055162191391
LOSS-E0-best,10125_0.h5,60,15,0.11718197911977768,0.07796455174684525,0.00022695056395605206,0.12251142412424088,0.11718276143074036
LOSS-E0-best,10125_0.h5,60,16,0.12085557729005814,0.07894228398799896,0.0002413129259366542,0.12230280786752701,0.11713410913944244
LOSS-E0-best,10125_0.h5,60,17,0.11707090586423874,0.07083787769079208,0.00022631179308518767,0.12067268788814545,0.11710401624441147
LOSS-E0-best,10125_0.h5,60,18,0.1184980496764183,0.07304638624191284,0.00023166688333731145,0.12187613546848297,0.11707016080617905
LOSS-E0-best,10125_0.h5,60,19,0.12886421382427216,0.08358701318502426,0.0002739492920227349,0.12420707941055298,0.11709912121295929
LOSS-E0-best,10125_0.h5,60,20,0.14730146527290344,0.09348317980766296,0.00035741287865675986,0.12431764602661133,0.11702604591846466
LOSS-E0-best,10125_0.h5,80,1,0.1199517697095871,0.0768333449959755,0.0002368741697864607,0.12026405334472656,0.1169903352856636
LOSS-E0-best,10125_0.h5,80,2,0.11291211098432541,0.06736627966165543,0.00020992332429159433,0.12126294523477554,0.11705077439546585
LOSS-E0-best,10125_0.h5,80,3,0.10683806985616684,0.060379039496183395,0.00018781519611366093,0.1189476028084755,0.11699214577674866
LOSS-E0-best,10125_0.h5,80,4,0.1101045086979866,0.05854054540395737,0.0001996434002649039,0.11966995894908905,0.11705271154642105
LOSS-E0-best,10125_0.h5,80,5,0.10823377966880798,0.05710913985967636,0.00019308298942632973,0.11862735450267792,0.11711330711841583
LOSS-E0-best,10125_0.h5,80,6,0.1086624264717102,0.06307944655418396,0.00019458818132989109,0.1206146776676178,0.11706462502479553
LOSS-E0-best,10125_0.h5,80,7,0.11104198545217514,0.06172160059213638,0.00020296948787290603,0.11983469128608704,0.11698203533887863
LOSS-E0-best,10125_0.h5,80,8,0.11420687288045883,0.0653703585267067,0.00021435657981783152,0.11989002674818039,0.11689550429582596
LOSS-E0-best,10125_0.h5,80,9,0.11481622606515884,0.06351355463266373,0.0002162426826544106,0.11922629922628403,0.11686381697654724
LOSS-E0-best,10125_0.h5,80,10,0.11599395424127579,0.06410086899995804,0.00022039999021217227,0.11941546946763992,0.11681857705116272
LOSS-E0-best,10125_0.h5,80,11,0.1173248440027237,0.06752746552228928,0.00022522952349390835,0.120114266872406,0.11676421761512756
LOSS-E0-best,10125_0.h5,80,12,0.11762209981679916,0.06882096827030182,0.00022622407414019108,0.12017868459224701,0.11673786491155624
LOSS-E0-best,10125_0.h5,80,13,0.11356856673955917,0.06866405159235,0.0002104415907524526,0.11974342912435532,0.1165357157588005
LOSS-E0-best,10125_0.h5,80,14,0.11398882418870926,0.07120492309331894,0.00021184251818340272,0.11985756456851959,0.1164955198764801
LOSS-E0-best,10125_0.h5,80,15,0.11690476536750793,0.07435057312250137,0.00022255447402130812,0.120399609208107,0.11642727255821228
LOSS-E0-best,10125_0.h5,80,16,0.11882978677749634,0.07574568688869476,0.00022928410908207297,0.1202121302485466,0.1162310540676117
LOSS-E0-best,10125_0.h5,80,17,0.11429581791162491,0.06700399518013,0.00021175169968046248,0.1184707060456276,0.11613341420888901
LOSS-E0-best,10125_0.h5,80,18,0.11637554317712784,0.07091756165027618,0.00021897454280406237,0.11978846788406372,0.11594872921705246
LOSS-E0-best,10125_0.h5,80,19,0.12699463963508606,0.07935396581888199,0.000260642176726833,0.1220620721578598,0.11590801924467087
LOSS-E0-best,10125_0.h5,80,20,0.14856773614883423,0.09114201366901398,0.00035656700492836535,0.12215040624141693,0.11588198691606522
LOSS-E0-best,10125_0.h5,100,1,0.12225645035505295,0.07908295094966888,0.0002410559100098908,0.11907467246055603,0.11579567939043045
LOSS-E0-best,10125_0.h5,100,2,0.11245705932378769,0.06795275211334229,0.00020365475211292505,0.1198146641254425,0.11569474637508392
LOSS-E0-best,10125_0.h5,100,3,0.10756345838308334,0.06265302002429962,0.0001858061586972326,0.11771068722009659,0.11556638777256012
LOSS-E0-best,10125_0.h5,100,4,0.1096663698554039,0.06025609374046326,0.00019293397781439126,0.11845984309911728,0.11551805585622787
LOSS-E0-best,10125_0.h5,100,5,0.1061365157365799,0.05722146853804588,0.0001806211075745523,0.11747109889984131,0.11549345403909683
LOSS-E0-best,10125_0.h5,100,6,0.10663364827632904,0.0638231635093689,0.00018202273349743336,0.11934465169906616,0.11539705842733383
LOSS-E0-best,10125_0.h5,100,7,0.10723903030157089,0.06277789175510406,0.00018381630070507526,0.11866485327482224,0.11529575288295746
LOSS-E0-best,10125_0.h5,100,8,0.11122836917638779,0.06562621146440506,0.0001974991464521736,0.1187046617269516,0.1152467280626297
LOSS-E0-best,10125_0.h5,100,9,0.11013539135456085,0.06410223245620728,0.00019321200670674443,0.11819658428430557,0.1151147112250328
LOSS-E0-best,10125_0.h5,100,10,0.11100450158119202,0.06443247199058533,0.00019608874572440982,0.1185155063867569,0.1150718480348587
