experiment,horizon,rel_l2,mvpe,velocity_squared_error,pred_speed_mean,pred_speed_std,target_speed_mean,target_speed_std
MF01-1500,1,0.1773177832365036,0.10538254678249359,0.001078448025509715,0.16345959901809692,0.11434341967105865,0.15705075860023499,0.118636853992939
MF01-1500,2,0.1691860556602478,0.09657570719718933,0.001015316927805543,0.16281576454639435,0.11654051393270493,0.15706518292427063,0.11862729489803314
MF01-1500,3,0.17195676267147064,0.10571305453777313,0.0010322813177481294,0.1644226461648941,0.11782220751047134,0.15707311034202576,0.11861002445220947
MF01-1500,4,0.1736101508140564,0.10805241763591766,0.0010579174850136042,0.16580358147621155,0.11774281412363052,0.15707175433635712,0.11861182004213333
MF01-1500,5,0.170915424823761,0.10500024259090424,0.0010701678693294525,0.16552796959877014,0.11905206739902496,0.1570601910352707,0.11861609667539597
MF01-1500,6,0.17267289757728577,0.10573368519544601,0.0010855159489437938,0.16555562615394592,0.11928718537092209,0.15706144273281097,0.11860432475805283
MF01-1500,7,0.17244571447372437,0.1031075268983841,0.0010944211389869452,0.16468364000320435,0.11902964860200882,0.15705525875091553,0.11860621720552444
MF01-1500,8,0.17306536436080933,0.10188817977905273,0.0011143111623823643,0.16413891315460205,0.11893998086452484,0.15705163776874542,0.11861393600702286
MF01-1500,9,0.17453132569789886,0.10203509777784348,0.0011347454274073243,0.16402624547481537,0.11892490088939667,0.15701057016849518,0.1186184212565422
MF01-1500,10,0.17564107477664948,0.10157769173383713,0.0011558544356375933,0.1641198843717575,0.11920734494924545,0.15702053904533386,0.11863715201616287
MF01-1500,11,0.17641200125217438,0.10078300535678864,0.001173954689875245,0.163944810628891,0.1191989928483963,0.1570269912481308,0.11864618957042694
MF01-1500,12,0.17582088708877563,0.0984889566898346,0.0011686403304338455,0.16328640282154083,0.11885378509759903,0.15701989829540253,0.11866055428981781
MF01-1500,13,0.1746862381696701,0.09771151840686798,0.0011517514940351248,0.16317515075206757,0.11864160001277924,0.1570630818605423,0.1186748519539833
MF01-1500,14,0.17553143203258514,0.1006019338965416,0.0011622770689427853,0.16399654746055603,0.1189834475517273,0.15705685317516327,0.11865032464265823
MF01-1500,15,0.17894293367862701,0.10508274286985397,0.001199851045385003,0.16486376523971558,0.11904856562614441,0.15705694258213043,0.11863084882497787
MF01-1500,16,0.1809883415699005,0.1035003662109375,0.0011990448692813516,0.16343075037002563,0.11710818856954575,0.15708261728286743,0.11862760782241821
MF01-1500,17,0.18441708385944366,0.1080172210931778,0.0012108365772292018,0.1641952395439148,0.11764979362487793,0.157064288854599,0.11861063539981842
MF01-1500,18,0.1898663491010666,0.09682013094425201,0.001312584150582552,0.16360853612422943,0.11753515899181366,0.15705251693725586,0.11862937361001968
MF01-1500,19,0.25715693831443787,0.16868719458580017,0.0026527175214141607,0.1725422441959381,0.12006879597902298,0.15704819560050964,0.11866152286529541
MF01-1500,20,0.28734487295150757,0.21031029522418976,0.0028504382353276014,0.18106845021247864,0.1206611916422844,0.15703967213630676,0.1186535581946373
MF-C02-C0-1500,1,0.15217576920986176,0.08759574592113495,0.0008193986141122878,0.16087201237678528,0.1127711683511734,0.15705075860023499,0.118636853992939
MF-C02-C0-1500,2,0.14406858384609222,0.07512809336185455,0.0007611328619532287,0.15890106558799744,0.11485601216554642,0.15706518292427063,0.11862729489803314
MF-C02-C0-1500,3,0.1465252935886383,0.08350836485624313,0.0007629326428286731,0.1605554074048996,0.11573132127523422,0.15707311034202576,0.11861002445220947
MF-C02-C0-1500,4,0.1467088758945465,0.0835404023528099,0.0007839795434847474,0.16175004839897156,0.11563586443662643,0.15707175433635712,0.11861182004213333
MF-C02-C0-1500,5,0.1458488404750824,0.08355299383401871,0.0007974955951794982,0.1617891788482666,0.11660662293434143,0.1570601910352707,0.11861609667539597
MF-C02-C0-1500,6,0.14696753025054932,0.08455251157283783,0.0008064085268415511,0.16160374879837036,0.11668818444013596,0.15706144273281097,0.11860432475805283
MF-C02-C0-1500,7,0.14707736670970917,0.08262412995100021,0.0008196496055461466,0.16076014935970306,0.11640407890081406,0.15705525875091553,0.11860621720552444
MF-C02-C0-1500,8,0.14825432002544403,0.0823533907532692,0.0008465543505735695,0.16036035120487213,0.11644875258207321,0.15705163776874542,0.11861393600702286
MF-C02-C0-1500,9,0.14969202876091003,0.08224716782569885,0.0008693039999343455,0.16024523973464966,0.11655621230602264,0.15701057016849518,0.1186184212565422
MF-C02-C0-1500,10,0.150971919298172,0.08257316052913666,0.0008844825206324458,0.16032885015010834,0.11671102046966553,0.15702053904533386,0.11863715201616287
MF-C02-C0-1500,11,0.15180571377277374,0.08167360723018646,0.0008960790582932532,0.1599062979221344,0.11658809334039688,0.1570269912481308,0.11864618957042694
MF-C02-C0-1500,12,0.1511574536561966,0.07829552888870239,0.0008922327542677522,0.15877105295658112,0.11630555987358093,0.15701989829540253,0.11866055428981781
MF-C02-C0-1500,13,0.14986522495746613,0.07628919929265976,0.0008754758164286613,0.15824784338474274,0.11615947633981705,0.1570630818605423,0.1186748519539833
MF-C02-C0-1500,14,0.14950096607208252,0.07712044566869736,0.0008731339476071298,0.15883931517601013,0.11627797037363052,0.15705685317516327,0.11865032464265823
MF-C02-C0-1500,15,0.15069307386875153,0.07855022698640823,0.0008922573179006577,0.15947045385837555,0.11633989214897156,0.15705694258213043,0.11863084882497787
MF-C02-C0-1500,16,0.15654341876506805,0.08179633319377899,0.0009338039089925587,0.1590958684682846,0.11532478034496307,0.15708261728286743,0.11862760782241821
MF-C02-C0-1500,17,0.16001653671264648,0.08869839459657669,0.0009496877901256084,0.16097389161586761,0.11565814912319183,0.157064288854599,0.11861063539981842
